,umap1,umap2,umap3,FP_cluster,FP_UMAP_label,logS0,rel,smiles_canonical,name,random,diversity
C(\C=C\c1ccccc1)N1CCN(CC1)C(c1ccccc1)c1ccccc1,-1.0176259,0.39092082,2.6860702,3.0,1.0,-5.34,LR,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,cinnarizine,0.0,1.0
C(c1ccccc1)n1ccnc1,-0.86321336,0.534666,2.0814495,3.0,1.0,-2.26,HR,c1ccc(Cn2ccnc2)cc1,benzylimidazole,0.0,1.0
C1Cc2ccccc2N1,-1.1629727,1.363421,2.1998942,3.0,1.0,-1.04,UR,c1ccc2c(c1)CCN2,indoline,0.0,1.0
C1O[C@H]1c1ccccc1,,,,,,-1.6,UR,c1ccc(C2CO2)cc1,styrene oxide,1.0,2.0
C=CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,-0.7728685,-1.2595664,-1.8356197,2.0,1.0,-2.346,HR,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,5-allyl-5-phenylbarbituric acid,0.0,1.0
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,,,,,,-1.796,HR,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,"5,5-diallylbarbituric acid",1.0,2.0
C=CCS[S@@](=O)CC=C,3.9215257,0.5318344,0.5480821,0.0,1.0,-0.83,UR,C=CCSS(=O)CC=C,allicin,0.0,1.0
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C,-0.39930022,-2.7584772,0.6535191,1.0,1.0,-5.825,HR,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,mifepristone,0.0,1.0
CC(=C)[C@@H]1CC=C(C)C(=O)C1,-0.07776937,-1.8136489,-0.5843985,2.0,1.0,-2.06,UR,C=C(C)C1CC=C(C)C(=O)C1,carvone,0.0,1.0
CC(=C)[C@H]1CC=C(C)C(=O)C1,-0.060990445,-1.7853804,-0.59691983,2.0,1.0,-2.06,UR,C=C(C)C1CC=C(C)C(=O)C1,d-carvone,0.0,0.0
CC(=O)C(C)(C)C,,,,,,-0.7236666666666666,UR,CC(=O)C(C)(C)C,"3,3-dimethyl-2-butanone",1.0,2.0
CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O,-0.30125457,1.9779321,-0.41117403,4.0,1.0,-0.5579999999999999,HR,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,pentoxifylline,0.0,1.0
CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,,,,,,-4.761,HR,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,warfarin,1.0,2.0
CC(=O)N1CCN(CC1)c1ccc(OC[C@H]2CO[C@@](Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1,-0.23161699,1.7105963,2.2116928,3.0,1.0,-3.8,HR,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,ketoconazole,0.0,1.0
CC(=O)NC(N)=O,3.2797542,0.74765396,0.58177006,0.0,1.0,-0.9,UR,CC(=O)NC(N)=O,acetylurea,0.0,1.0
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCN(CC2)C(=O)CO)c(F)c1,,,,,,-1.97,HR,CC(=O)NCC1CN(c2ccc(N3CCN(C(=O)CO)CC3)c(F)c2)C(=O)O1,eperezolid,1.0,2.0
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCOCC2)c(F)c1,0.770895,-0.4369428,3.5930088,3.0,1.0,-2.07,HR,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,linezolid,0.0,1.0
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I,1.5724553,0.8988379,1.6659715,3.0,1.0,-2.3209999999999997,HR,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,iodamide,0.0,0.0
CC(=O)NS(=O)(=O)c1ccc(N)cc1,,,,,,-1.5135,HR,CC(=O)NS(=O)(=O)c1ccc(N)cc1,sulfacetamide,1.0,2.0
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I,1.6233801,0.915417,1.8047531,3.0,1.0,-2.7880000000000003,HR,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,diatrizoic acid,0.0,1.0
CC(=O)Nc1ccc(C=O)cc1,,,,,,-1.58,UR,CC(=O)Nc1ccc(C=O)cc1,n-(4-formylphenyl)acetamide,1.0,2.0
CC(=O)Nc1ccc(Cl)cc1,1.3155428,1.0671529,1.8335292,3.0,1.0,-2.842,UR,CC(=O)Nc1ccc(Cl)cc1,p-chloroacetanilide,0.0,0.0
CC(=O)Nc1ccc(F)cc1,1.3542224,1.2422825,1.5599662,3.0,1.0,-1.78,UR,CC(=O)Nc1ccc(F)cc1,p-fluoroacetanilide,0.0,1.0
CC(=O)Nc1ccc(N)cc1,,,,,,-0.98,UR,CC(=O)Nc1ccc(N)cc1,n-(4-aminophenyl)acetamide,1.0,2.0
CC(=O)Nc1ccc(O)cc1,1.354125,1.1298847,1.5638778,3.0,1.0,-1.064,HR,CC(=O)Nc1ccc(O)cc1,acetaminophen,0.0,0.0
CC(=O)Nc1ccc(OC(C)=O)cc1,,,,,,-1.91,UR,CC(=O)Nc1ccc(OC(C)=O)cc1,4-acetamidophenyl acetate,1.0,2.0
CC(=O)Nc1ccc(cc1)S(N)(=O)=O,1.132102,1.1839799,1.7911061,3.0,1.0,-1.61,UR,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,n-(4-sulfamoylphenyl)acetamide,0.0,1.0
CC(=O)Nc1ccc(cc1)[N+]([O-])=O,1.3194678,0.9859648,1.2434818,3.0,1.0,-2.69133333333333,UR,CC(=O)Nc1ccc([N+](=O)[O-])cc1,4-nitroacetanilide,0.0,1.0
CC(=O)Nc1cccc(C)c1,1.0730627,1.0086994,1.8311734,3.0,1.0,-2.09,UR,CC(=O)Nc1cccc(C)c1,n-(3-methylphenyl)acetamide,0.0,1.0
CC(=O)Nc1ccccc1,0.32555485,0.85978997,2.029904,3.0,1.0,-1.3980000000000001,HR,CC(=O)Nc1ccccc1,acetanilide,0.0,0.0
CC(=O)Nc1ccccc1Cl,0.9176346,0.865271,1.4111899,3.0,1.0,-1.4,UR,CC(=O)Nc1ccccc1Cl,n-(2-chlorophenyl)acetamide,0.0,1.0
CC(=O)Nc1ccccc1[N+]([O-])=O,0.99011886,0.7465397,0.6659343,3.0,1.0,-1.91,UR,CC(=O)Nc1ccccc1[N+](=O)[O-],n-(2-nitrophenyl)acetamide,0.0,1.0
CC(=O)Nc1nnc(s1)S(N)(=O)=O,1.4958822,1.0546329,2.0055478,3.0,1.0,-2.4619999999999997,HR,CC(=O)Nc1nnc(S(N)(=O)=O)s1,acetazolamide,0.0,1.0
CC(=O)OC1CCCCC1,0.70081747,-1.2992525,-0.52950275,2.0,1.0,-1.67,UR,CC(=O)OC1CCCCC1,cyclohexyl acetate,0.0,1.0
CC(=O)OCC(COC(C)=O)OC(C)=O,,,,,,-0.6,UR,CC(=O)OCC(COC(C)=O)OC(C)=O,glyceryl triacetate,1.0,2.0
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1cccs1)C2=O)C(O)=O,-0.16484833,-0.32014173,3.4648037,-1.0,1.0,-2.938,HR,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,cephalothin,0.0,1.0
CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,-0.6011885,0.11726489,2.7785912,3.0,1.0,-6.63,HR,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,paclitaxel,0.0,1.0
CC(=O)O[C@]1(C(C)=O)C(=C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-0.38063508,-2.4870658,0.31143937,1.0,1.0,-5.57,HR,C=C1CC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC2(C)C1(OC(C)=O)C(C)=O,melengestrol acetate,0.0,1.0
CC(=O)Oc1ccccc1C(O)=O,0.71039265,0.1580167,2.507305,3.0,1.0,-1.75,HR,CC(=O)Oc1ccccc1C(=O)O,acetylsalicylic_acid,0.0,1.0
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12,-0.4117829,-2.766665,0.4804876,1.0,1.0,-4.173,HR,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,spironolactone,0.0,1.0
